Trial,nBack,Valence,Image,imagePresentationTime,NoisePresentationTime,x,RT,Accuracy,experiment,Clock_1,Clock_2,dataOneMinPress_1,dataOneMinPress_2
52,1,2,4571.jpg,19.3286559226285,19.8463086602028,22.1404433719254,NaN,0,1,,,,
53,1,2,7920.jpg,22.1522006943665,22.6698679218111,24.3639773970094,NaN,1,1,,,,
54,1,2,9390.jpg,24.3757419643853,24.8934094937026,26.1875206593854,NaN,1,1,,,,
55,1,2,1945.jpg,26.1992861323788,26.7169403793146,27.3169369379702,NaN,1,1,,,,
56,1,2,2720.jpg,27.3287002978573,27.8463587710053,28.446356235278,NaN,1,1,,,,
57,1,2,2720.jpg,28.458119595165,28.9757759552067,31.1757838642611,NaN,0,1,,,,
58,1,2,4635.jpg,31.1875511484882,31.705202376701,32.9993229004249,NaN,1,1,,,,
59,1,2,4635.jpg,33.0110874678012,33.5287477521833,34.1287431033497,NaN,0,1,,,,
60,1,2,9042.jpg,34.1405236699579,34.6581742944263,36.8581719398221,NaN,1,1,,,,
61,1,2,9042.jpg,36.8699349978369,37.3876227525984,38.9875936521084,NaN,0,1,,,,
62,1,2,9101.jpg,38.9993594269736,39.5170257488016,41.8111414425689,NaN,1,1,,,,
63,1,2,7700.jpg,41.8229078211789,42.3405626718595,44.6346883274127,NaN,1,1,,,,
64,1,2,7234.jpg,44.6464580266183,45.1641077454697,46.8582739726603,NaN,1,1,,,,
65,1,2,2221.jpg,46.8699995985098,47.3876761839956,49.7876630223632,NaN,1,1,47.728921691004,,,
66,1,2,2221.jpg,49.799426080378,50.3170818366752,51.811202420774,NaN,0,1,,,,
67,1,2,8465.jpg,51.8229706106181,52.3406345174676,54.1406284196469,NaN,1,1,,,,
68,1,2,9331.jpg,54.1524005338306,54.6700677612757,55.4700468717124,NaN,1,1,,,,
69,1,2,4561.jpg,55.4818168727898,55.9994681010025,57.3994793910269,NaN,1,1,,,,
70,1,2,4561.jpg,57.4112364115954,57.9288918660204,59.6230158310891,NaN,0,1,,,,
71,1,2,9001.jpg,-2.31833943668789,-1.80068790660289,0.0934376282016274,NaN,1,1,,,61.7995860726983,0.152819230714613
72,1,2,9001.jpg,0.10520128996086,0.634618594911444,1.71697388714028,NaN,0,1,,,,
73,1,2,9000.jpg,1.7287435863459,2.24640749319497,2.84639318444806,NaN,1,1,,,,
74,1,2,9700.jpg,2.8581616761644,3.37582679050274,4.46993276398234,NaN,1,1,,,,
75,1,2,9360.jpg,4.48170185944309,4.99936546441995,7.39936317019055,NaN,1,1,,,,
76,1,2,5120.jpg,7.41113256752351,7.92879285190566,9.92879164441638,NaN,1,1,,,,
77,1,2,9561.jpg,9.94058368217202,10.4582110624729,10.658207802252,NaN,1,1,,,,
78,1,2,9561.jpg,10.6699856520095,11.1876269184363,12.6817499175136,NaN,0,1,,,,
79,1,2,7700.jpg,12.6935135792728,13.2111702411871,13.5052838218485,NaN,1,1,,,,
80,1,2,9101.jpg,13.5170459742462,14.0347147110524,15.034704145522,NaN,1,1,,,,
81,1,2,1945.jpg,15.0464693166427,15.564135940343,16.9641297217736,NaN,1,1,,,,
82,1,2,8465.jpg,16.9758930816606,17.4935491398301,18.587668697563,NaN,1,1,,,,
83,1,2,2221.jpg,18.5994329630671,19.1170887193643,20.3170902891002,NaN,1,1,,,,
84,1,2,4571.jpg,20.3288605920502,20.8465112165181,22.2465164690966,NaN,1,1,21.105432826017,21.2583540895698,,
85,1,2,2720.jpg,22.2582831495788,22.775934981536,24.2700570749962,NaN,1,1,,,,
86,1,2,9360.jpg,24.2818234536066,24.799478606159,26.7994864548391,NaN,1,1,,,,
