Trial,nBack,Valence,Image,imagePresentationTime,NoisePresentationTime,x,RT,Accuracy,experiment,Clock_1,Clock_2,dataOneMinPress
94,1,1,4653.jpg,181.792186692488,182.309858313092,183.803970590365,NaN,1,0,,,
95,1,1,4653.jpg,183.815733960902,184.333390186002,185.333394412213,0.623641271537053,1,0,,,
96,1,1,2240.jpg,185.345175895112,185.862815517219,187.462825901632,NaN,1,0,,,
97,1,1,7460.jpg,187.47461312011,187.992287759422,190.086375102037,NaN,1,0,,,
98,1,1,4531.jpg,190.098196432111,190.615795603284,192.521688337089,NaN,1,0,,,
99,1,1,5622.jpg,192.533458952574,193.051129969419,193.545227153081,NaN,1,0,,,
100,1,1,7350.jpg,193.556995353574,194.074665162931,196.168788428375,NaN,1,0,,,
101,1,1,7340.jpg,196.180562364461,196.698196250989,196.898194077497,NaN,1,0,,,
102,1,1,7450.jpg,196.909965900471,197.427633898595,198.521739051677,NaN,1,0,,,
103,1,1,5270.jpg,198.533509667162,199.051172533451,200.94528951995,NaN,1,0,,,
104,1,1,5270.jpg,200.957055003601,201.474711530565,203.474723001724,0.611906578880735,1,0,,,
105,1,1,7430.jpg,203.486490900352,204.004160709708,205.004147427317,NaN,1,0,,,
106,1,1,4651.jpg,205.015911703478,205.533572456668,207.427696688101,NaN,1,0,,,
107,1,1,4651.jpg,207.439461266127,207.95712020807,210.251250658082,0.553031464776723,1,0,,,
108,1,1,7450.jpg,210.2630143305,210.780671461209,211.474789715561,NaN,1,0,,,
109,1,1,4608.jpg,211.486553689843,212.004219272989,212.498325512817,NaN,1,0,,,
110,1,1,7351.jpg,212.510091902092,213.02774993841,213.721922831712,NaN,1,0,,,
111,1,1,7402.jpg,213.733684089137,214.251288995903,215.251292014626,NaN,1,0,,,
112,1,1,4656.jpg,215.263056894531,215.780713119617,216.580714991229,NaN,1,0,,,
113,1,1,1720.jpg,216.592480776759,217.110177452778,219.51017280393,NaN,1,0,,,
114,1,1,7330.jpg,219.521923193955,220.039612021283,220.333701718497,NaN,1,0,,,
115,1,1,7430.jpg,220.34545905159,220.863117993533,222.463140150983,NaN,1,0,,,
116,1,1,5628.jpg,222.474886314783,222.99257997208,223.486656326524,NaN,1,0,,,
117,1,1,4611.jpg,223.498417885829,224.016080148373,226.216090049798,NaN,1,0,,,
118,1,1,2240.jpg,226.227855533449,226.745528663407,227.345514898014,NaN,1,0,,,
